TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
5.88,8.74,30.01,254.67,364.86,32.62,522.51,5.82,0.48
5.83,9.29,30.09,255.95,357.14,32.57,601.68,6.17,0.59
6.12,9.46,30.19,246.92,359.74,33.03,560.55,6.17,0.55
6.06,11.21,29.99,248.39,365.32,34.28,898.41,5.96,0.85
5.95,10.02,30.00,247.15,359.46,33.28,671.68,6.27,0.67
6.11,8.61,30.16,255.35,362.79,31.79,479.14,5.59,0.42
5.85,10.96,30.08,252.80,356.68,34.55,909.55,5.95,0.85
6.10,11.28,29.90,254.91,357.99,34.56,943.27,5.87,0.87
5.93,9.85,30.02,246.78,360.14,33.43,651.67,6.23,0.64
6.19,9.38,29.83,248.55,356.75,31.92,538.21,6.17,0.52
6.12,7.81,30.09,253.75,360.53,31.87,385.78,4.65,0.28
5.83,10.65,30.18,254.88,361.32,34.56,859.95,5.98,0.81
5.98,8.51,29.95,250.18,363.87,31.52,460.61,5.76,0.42
5.95,8.86,29.95,255.70,364.80,32.14,522.69,5.97,0.49
5.83,10.20,29.97,256.48,358.48,34.04,774.14,6.06,0.74
5.82,12.15,30.18,255.43,362.07,35.65,1273.85,5.32,1.07
5.86,9.00,29.95,254.35,365.61,32.78,545.70,6.12,0.53
6.15,11.78,30.10,247.30,366.27,34.74,1021.02,5.71,0.92
6.18,8.54,29.89,248.90,356.63,31.35,453.55,5.42,0.39
5.81,11.86,30.06,252.61,365.10,34.62,1170.16,5.47,1.01
5.92,11.81,30.04,248.66,357.24,34.60,1085.67,5.65,0.97
6.10,12.18,30.02,253.98,356.60,34.93,1175.03,5.50,1.02
5.86,7.71,29.81,253.44,357.99,31.18,401.67,4.89,0.31
6.13,9.20,30.20,250.73,358.87,32.48,535.29,6.02,0.51
5.82,11.68,30.02,247.41,366.13,34.98,1079.45,5.63,0.96
5.94,11.64,30.15,246.71,365.66,34.46,1022.87,5.75,0.93
5.80,10.93,29.86,247.32,363.84,34.00,882.91,6.01,0.84
5.86,9.98,29.98,247.71,359.62,32.79,691.80,6.17,0.67
6.17,9.54,29.90,251.68,356.99,32.26,581.06,6.11,0.56
6.08,10.57,30.18,249.71,359.05,33.65,774.50,6.06,0.74
5.95,8.97,30.02,250.47,364.41,32.80,532.13,5.96,0.50
6.16,10.83,30.12,251.11,364.14,33.73,812.06,6.05,0.78
5.88,8.94,30.15,253.68,365.41,32.38,538.52,6.02,0.51
5.92,8.11,30.13,253.18,364.61,31.52,432.54,5.37,0.37
6.03,9.56,30.14,247.27,359.85,33.00,604.12,6.06,0.58
5.82,10.75,30.07,254.44,365.53,33.65,887.24,5.92,0.83
6.15,10.13,30.07,252.16,366.45,32.80,669.81,6.27,0.66
5.91,11.56,29.95,248.17,361.26,34.57,1029.51,5.70,0.93
5.97,10.83,29.86,252.76,357.33,33.53,858.73,5.99,0.81
6.08,10.61,30.09,248.47,361.94,33.32,774.23,6.09,0.74
6.04,7.85,29.81,252.38,356.78,31.37,390.90,4.89,0.30
5.82,8.06,30.00,250.56,362.44,31.54,435.59,5.40,0.37
6.08,8.95,30.17,249.57,365.32,32.23,506.86,5.91,0.47
5.95,9.66,30.09,247.35,362.71,32.77,617.18,6.23,0.61
5.94,10.69,30.10,248.81,363.78,33.84,827.69,5.99,0.78
6.09,10.03,29.85,246.60,361.22,32.67,658.99,6.17,0.64
6.12,8.23,30.16,256.24,360.91,31.74,426.49,5.30,0.36
6.01,10.38,29.96,254.00,361.80,33.94,750.75,6.19,0.73
5.89,9.76,29.94,254.39,360.12,32.80,657.77,6.28,0.65
